Epoch Train_Loss Validation_Loss
491 7.566 7.257
492 7.670 7.636
493 7.604 7.253
494 7.569 7.270
495 7.581 7.337
496 7.519 7.240
497 7.532 7.241
498 7.696 7.231
499 7.668 7.309
500 7.480 7.225
501 7.501 7.176
502 7.490 7.234
503 7.456 7.368
504 7.516 7.216
505 7.534 7.159
506 7.559 7.229
507 7.439 7.263
508 7.454 7.111
509 7.451 7.241
510 7.370 7.203
511 7.507 7.121
512 7.450 7.172
513 7.366 7.030
514 7.437 7.115
515 7.352 7.039
516 7.554 7.063
517 7.425 7.415
518 7.381 7.175
519 7.375 7.089
520 7.388 7.058
521 7.422 7.016
522 7.500 6.988
523 7.423 6.984
524 7.504 7.041
525 7.420 7.112
526 7.470 7.098
527 7.464 7.340
528 7.370 7.103
529 7.347 7.028
530 7.391 7.310
531 7.486 7.230
532 7.321 7.145
533 7.432 7.264
534 7.405 7.172
535 7.262 7.195
536 7.330 7.061
537 7.402 7.175
538 7.253 7.211
539 7.457 7.072
540 7.370 7.163
541 7.325 6.974
542 7.346 7.206
543 7.281 7.111
544 7.440 7.145
545 7.408 7.037
546 7.314 7.052
547 7.249 6.989
548 7.420 7.098
549 7.345 7.029
550 7.235 7.019
551 7.413 7.106
552 7.331 7.001
553 7.351 7.059
554 7.265 7.313
555 7.287 6.908
556 7.199 7.094
557 7.251 7.061
558 7.210 7.110
559 7.221 7.051
560 7.453 6.943
561 7.338 7.105
562 7.371 7.000
563 7.202 7.057
564 7.192 7.053
565 7.075 6.857
566 7.379 6.899
567 7.340 7.032
568 7.296 6.900
569 7.182 6.997
570 7.306 7.067
571 7.148 6.962
572 7.270 6.952
573 7.287 6.932
574 7.308 6.847
575 7.146 6.981
576 7.232 7.012
577 7.189 6.852
578 7.244 6.895
579 7.081 6.892
580 7.072 7.038
581 7.072 6.756
582 7.099 6.789
583 7.093 6.837
584 7.102 6.818
585 7.185 6.853
586 7.176 6.952
587 7.186 6.845
588 7.136 6.765
589 7.158 6.914
590 7.076 6.835
591 7.107 6.804
592 7.035 6.914
593 7.167 6.912
594 7.116 6.831
595 7.156 6.899
596 7.204 6.922
597 7.137 6.912
598 7.051 6.848
599 7.214 6.844
600 7.218 6.997
601 7.269 6.983
602 7.050 6.950
603 7.068 6.876
604 6.972 6.892
605 7.015 6.859
606 7.160 6.908
607 7.222 6.913
608 7.095 6.881
609 6.976 6.926
610 7.161 6.901
611 7.189 6.869
612 7.106 6.972
613 7.250 6.846
614 7.062 6.845
615 7.080 6.937
616 7.052 6.848
617 7.067 6.889
618 7.069 6.994
619 7.073 6.981
620 7.042 6.854
621 7.160 6.889
622 7.078 6.956
623 7.045 7.068
624 7.063 6.926
625 7.188 6.891
626 7.121 7.021
627 7.114 6.952
628 7.140 7.020
629 7.104 6.864
630 7.114 6.841
631 7.000 6.902
632 7.084 6.896
633 7.125 7.001
634 7.214 6.841
635 7.127 6.938
636 7.140 6.924
637 7.058 6.847
638 6.979 6.880
639 7.108 6.855
640 7.090 6.983
641 7.032 6.805
642 7.042 6.896
643 7.087 6.905
644 6.936 6.825
645 7.166 6.880
646 6.959 6.841
647 6.943 6.946
648 7.009 6.900
649 7.002 6.981
650 7.004 6.816
651 7.026 6.882
652 7.080 6.894
653 7.032 6.841
654 7.146 6.927
655 6.980 6.844
656 7.100 6.790
657 7.117 6.839
658 6.947 6.832
659 6.971 6.945
660 7.030 6.858
661 7.003 6.946
662 7.010 6.825
663 6.954 6.807
664 6.938 6.903
665 7.073 6.840
666 6.990 6.898
667 7.059 6.859
668 6.964 6.850
669 6.949 6.836
670 7.016 7.006
671 6.950 6.698
672 7.114 6.849
673 7.033 6.954
674 7.092 6.855
675 6.971 6.773
676 6.965 6.769
677 7.077 6.810
678 7.016 6.773
679 6.840 6.873
680 6.995 6.814
681 6.775 6.762
682 6.993 6.778
683 6.962 6.791
684 7.039 6.917
685 7.096 6.903
686 7.082 6.788
687 6.836 6.826
688 6.951 6.883
689 6.915 6.829
690 6.896 6.898
691 6.963 6.814
692 6.905 6.810
693 7.109 6.916
694 6.869 6.818
695 7.000 6.818
696 6.995 6.790
697 6.846 6.844
698 6.731 6.790
699 6.995 6.759
700 6.957 6.888
701 6.878 6.883
702 6.804 6.791
703 6.936 6.787
704 6.903 6.788
705 6.919 6.870
706 6.951 6.800
707 6.860 6.800
708 6.971 6.867
709 6.870 6.783
710 6.874 6.826
711 6.898 6.794
712 7.018 6.772
713 6.933 6.938
714 6.834 6.880
715 6.777 6.778
716 6.844 6.764
717 6.926 6.839
718 6.825 6.778
719 6.979 6.811
720 6.664 6.830
721 6.882 6.790
722 6.891 6.646
723 6.809 6.829
724 6.843 6.731
725 6.923 6.721
726 6.891 6.706
